Nome,Cobrada?,Cobrado,Criado em,Data Aceite do Cliente,Data Liberação RFI,Data Planejada de Execução,Demanda relacionada,Horas Estimadas,Horas Trabalhadas,ID,Key Account,Motivo do Cancelamento,Responsável pela RFI,Resumo Assunto,Status,Task (Linear),Valor Calculado,Valor Negociado com Cliente,criado por,👥 Clientes,🤿 Demandas de Clientes
NK STORE | RFI : Escopo - Alteração Integração,🎁,,14 de agosto de 2025 10:23,,14 de agosto de 2025,,NK STORE,60,,1,Julianne,,Marina Santoro,Ajustes integração,RFI Post Mortem,"https://linear.app/umode/project/nk-integracao-de-escrita-rota-operacao-91683eb83fe0
https://linear.app/umode/project/nk-integracao-de-leitura-material-semi-acabado-rfi-1-0b610fc206ef/overview","R$ 18.000,00",R$ 18.000,Marina Santoro,NK STORE (https://app.notion.com/p/NK-STORE-0f24dfbef0ae43bbba528218d940b7ed?pvs=21),
LUIZA BARCELOS | RFI : Escopo - Lista de Entregáveis,,,14 de agosto de 2025 10:28,,19 de agosto de 2025,,Luiza Barcelos,64,,2,,16/09/25: O cliente fez uma atualização na rota tirando a informação de fornecedores e assim conseguiu manter em um endpoint único. Entendo que está RFI está encerrada.,Marina Santoro,API,RFI Cancelada,,"R$ 19.200,00",,Marina Santoro,Luiza Barcelos (https://app.notion.com/p/Luiza-Barcelos-b0c819c0bda449528d9d984b3200f07f?pvs=21),
CAMBOS | RFI : Escopo - Ajustes Integração,,,14 de agosto de 2025 10:29,,7 de agosto de 2025,,Cambos,5,,3,,,Marina Santoro,Ajustes integração,RFI Entregue ao Cliente,,"R$ 1.500,00",,Marina Santoro,Cambos (https://app.notion.com/p/Cambos-d6d48327e33b4105b67b9db4dbb55af1?pvs=21),
VIX | RFI : Escopo - Lista de Entregáveis,💰,,14 de agosto de 2025 10:31,15 de agosto de 2025,7 de agosto de 2025,,VIX,10,,4,,,Marina Santoro,Ajustes integração,RFI Entregue ao Cliente,,"R$ 3.000,00",,Marina Santoro,VIX (https://app.notion.com/p/VIX-70a10ec2756f4842a04cb12675a09d22?pvs=21),
DRO | RFI : Escopo - Lista de Entregáveis,🎁,Não,14 de agosto de 2025 10:32,,30 de julho de 2025,,DRO,24,,6,,,Ju Ferré,CNPJ Matylas,RFI Entregue ao Cliente,,"R$ 7.200,00",R$ 9.600,Marina Santoro,DRO (https://app.notion.com/p/DRO-e508e7111bd14988947e1182de610d31?pvs=21),
CAEDU | RFI : Escopo - Hierarquia Entre Campos,,,14 de agosto de 2025 10:33,,11 de agosto de 2025,,Caedu,36,,7,Julianne,,Julianne Rodrigues,Hierarquia entre campos,RFI Stand By,,"R$ 10.800,00",,Marina Santoro,Caedu (https://app.notion.com/p/Caedu-275bd52e58df49078f2f3b6dc76a4755?pvs=21),
VIX | RFI : Escopo - Lista de Entregáveis,🚫,,18 de agosto de 2025 11:17,,,,VIX,,,9,,Vix chegou ao consenso que seria mais difícil nos informar os parâmetros do que fazerem a mão,Victor Aragão,Alteração em massa,RFI Cancelada,,"R$ 0,00",,Ju Ferré,VIX (https://app.notion.com/p/VIX-70a10ec2756f4842a04cb12675a09d22?pvs=21),
PUKET | RFI : Escopo - Alteração de IP e Credencial,🎁,,18 de agosto de 2025 17:10,,18 de agosto de 2025,,Puket,4,,10,,,Ju Ferré,Alteração de IP e Credencial de Integração,RFI Entregue ao Cliente,,"R$ 1.200,00",R$ 1.200,Ju Ferré,Puket (https://app.notion.com/p/Puket-aae6d54c5f854cc9b890f8c0c120bf0a?pvs=21),
VIX | RFI : Escopo - Lista de Entregáveis,,Sim,20 de agosto de 2025 16:48,25 de setembro de 2025,23 de julho de 2025,,VIX,,,12,,,João Risoléo,API Time Qualidade - OS 120,RFI Entregue ao Cliente,,"R$ 0,00",R$ 15.100,Marina Santoro,VIX (https://app.notion.com/p/VIX-70a10ec2756f4842a04cb12675a09d22?pvs=21),
NK STORE | RFI : Escopo - Cálculo de Agrupamento em View,,,26 de agosto de 2025 13:37,,26 de agosto de 2025,,NK STORE,440,,13,Julianne,,Ju Ferré,Cálculo de Agrupamento - Tecidos e Avios na View,RFI Stand By,,"R$ 132.000,00",,Ju Ferré,NK STORE (https://app.notion.com/p/NK-STORE-0f24dfbef0ae43bbba528218d940b7ed?pvs=21),View MP - Acrescentar 2 abas com o somatório  (https://app.notion.com/p/View-MP-Acrescentar-2-abas-com-o-somat-rio-25ab1d38e7688077b094ee6fcc4fafaa?pvs=21)
"PUKET | RFI : Escopo - Lista de Entregáveis ",,,11 de setembro de 2025 09:28,,,,Puket,,,15,,,Ju Ferré,Reestruturação de Conta,RFI Cancelada,,"R$ 0,00",,Ju Ferré,Puket (https://app.notion.com/p/Puket-aae6d54c5f854cc9b890f8c0c120bf0a?pvs=21),
