"produto_id","nome","nome_legado","destino","area_cliente","geracao","maturidade","upstream","downstream","clientes","arquivo"
"01_PlanejAI","PlanejAI","uPlan (linhagem confirmada pelo Vinicius, 13 jul 2026)","Voltada ao cliente","Planejamento","Nativa","MVP","CadastrAI (histórico de produto já tratado a partir do ERP) e Taxonomia (atributos e pesos).","CriAI — ""mix sugerido"" (atributos da Taxonomia + pesos da marca) que vira input do CriAI em modo briefado; ""plano loja a loja"" (profundidade por SKU por cluster). No modo in-season, emite eventos para o GerenciAI (ruptura iminente, sobra projetada, sugestão de remanejamento).","Reserva — cliente âncora segundo o ÍNDICE MESTRE do Notion. ⚠ O índice **não qualifica** se é `(contratado)` ou `(piloto)`, e o protocolo exige o qualificador; fica pendente de confirmação.","uMode/03_Produto-e-Solucoes/01_PlanejAI/_contexto/produto.md"
"02_CriAI","CriAI","","Voltada ao cliente","Estilo / Criação","Nativa","Escalável","PlanejAI (mix sugerido / briefing, com atributos e quantidades por caixinha); Taxonomia (extração de atributos de cada imagem); pesquisa própria via extensão Chrome e upload manual; DesenvolvAI (taxa de aprovação V1 volta como sinal).","DesenvolvAI (ficha pré-preenchida); produtos em desenho, looks combinados e try-on; sinal contínuo de planejado vs realizado que alimenta a vertical ""Criação"" do AI First.","","uMode/03_Produto-e-Solucoes/02_CriAI/_contexto/produto.md"
"03_DesenvolvAI","DesenvolvAI","uFlow (linhagem confirmada por Vinicius Risoléo, 13 jul 2026 — módulo de Gestão de Coleção). Complemento de 04 ago 2026: o uFlow **segue em operação** como a ferramenta de PLM que conduz praticamente todos os contratos, e é o que resume o plano de migração até aqui. No Notion é registrado muitas vezes como **""Gestão de Coleção""** — o de/para de Soluções é justamente o que responde essa equivalência de nomes.","Voltada ao cliente","Desenvolvimento de Coleção","Nativa","Escalável","CriAI (ficha pré-preenchida, especificação já resolvida no digital) e FornecAI jornada 1 (fornecedor devolve piloto e orçamento via DesenvolvAI).","CadastrAI (produto lacrado → ERP); CriAI (taxa de V1 volta como input do ciclo seguinte); vertical ""Desenvolvimento"" do AI First (produto em V_n com sinal de morte, queda de V1 por estilista, tempo médio de piloto por fornecedor, concentração de motivo de cancelamento).","NV — cliente âncora segundo o ÍNDICE MESTRE do Notion. ⚠ O índice **não qualifica** se é `(contratado)` ou `(piloto)`; o protocolo exige o qualificador, então fica pendente de confirmação. A planilha de acessos mostra ~20 organizações com conta de uFlow, o que indica muito mais que um cliente — a reconciliação conta↔cliente↔módulo continua não feita.","uMode/03_Produto-e-Solucoes/03_DesenvolvAI/_contexto/produto.md"
"04_FornecAI","FornecAI","","Voltada ao cliente","Compras / Supply / Sourcing","Nativa","Ideação","CriAI (ficha técnica, jornada 1); Taxonomia (indexa os catálogos de fornecedor); GerenciAI (necessidade de estoque detectada loja a loja alimenta a consulta reativa).","DesenvolvAI (piloto e orçamento devolvidos); pedido reativo ao fornecedor; vertical ""Oportunidade de negócio"" do AI First, que ""nasce aqui"".","Nenhum — produto ainda não nasceu","uMode/03_Produto-e-Solucoes/04_FornecAI/_contexto/produto.md"
"05_EnriqueceAI","EnriqueceAI","**CadastroAI** — o módulo de enriquecimento do desenho original. Literal da fonte canônica: ""No desenho original era 'CadastroAI' como módulo de enriquecimento. Foi rebatizado para EnriqueceAI durante esta sessão para liberar o nome 'CadastrAI' para o núcleo de governança."" ⚠ **Atenção à nuance:** o EnriqueceAI é o antigo **CadastroAI** renomeado; ele **não** é o `CadastrAI` de hoje, que é outra coisa (o núcleo de governança, que herdou o nome liberado). Os dois itens do Portfólio continuam distintos.","Voltada ao cliente","E-commerce / Cadastro","Nativa","MVP","CadastrAI (produto já passou pela Taxonomia e já tem atributos detectados) e as fotos do próprio produto lacrado — ""não imagens de pesquisa, não catálogo de fornecedor"".","CadastrAI — ""devolve enriquecimento pro CadastrAI; o CadastrAI armazena e pode distribuir adiante""; daí para plataformas de e-commerce (Vtex, Shopify etc.) via serviço de Integrações do CadastrAI, hoje manual.","NV (uso real confirmado em reuniões de jul 2026 — qualificador contratado/piloto a confirmar)","uMode/03_Produto-e-Solucoes/05_EnriqueceAI/_contexto/produto.md"
"06_GerenciAI","GerenciAI","","Voltada ao cliente","Planejamento + Financeiro","Nativa","Escalável","Eventos estruturados dos demais módulos. A página é explícita: ""o **GerenciAI é consumidor**, não originador — ele renderiza, agrega, prioriza. A detecção mora em quem está mais perto do dado."" Consome também do PlanejAI in-season (foto do realizado loja a loja) e das verticais do AI First.","Alertas em central interna e e-mail; detecção de necessidade de estoque loja a loja que dispara a consulta ao Catálogo Reativo do FornecAI, para o que precisa expor `buscar_oferta_compativel(demanda_loja, atributos, prazo)`.","Reserva — ""o módulo que a Reserva já usa hoje"" (Especificação por Módulo V1). ⚠ A fonte **não qualifica** como `(contratado)` ou `(piloto)`, e o protocolo exige o qualificador; fica pendente de confirmação.","uMode/03_Produto-e-Solucoes/06_GerenciAI/_contexto/produto.md"
"07_AlocAI","AlocAI","","Voltada ao cliente","Logística / CD","Nativa","","","","Nenhum registrado","uMode/03_Produto-e-Solucoes/07_AlocAI/_contexto/produto.md"
"08_VendeAI","VendeAI","","Voltada ao cliente","Comercial / Vendas","Nativa","MVP","CadastrAI · CriAI (posicionamento provável, a confirmar pós-piloto)","","NK STORE (piloto)","uMode/03_Produto-e-Solucoes/08_VendeAI/_contexto/produto.md"
"09_CliprocAI","CliprocAI","","Voltada ao cliente","Comercial / Vendas","Nativa","MVP","","","Cambos (piloto)","uMode/03_Produto-e-Solucoes/09_CliprocAI/_contexto/produto.md"
"10_CadastrAI","CadastrAI","Não descende de ferramenta anterior: **herdou o nome** `CadastrAI`, liberado na sessão de 24/04/2026 quando o antigo ""CadastroAI"" (módulo de enriquecimento) foi rebatizado para **EnriqueceAI**. O ÍNDICE MESTRE ainda titula a página do produto como ""Projeto: CadastroAI"", com a descrição já do núcleo de governança — título defasado, conteúdo atual.","Interna","[não aplicável — produto interno]","Nativa","Escalável","ERP do cliente (dado bruto, tratado conforme política de auditoria da marca); todos os módulos que devolvem produto enriquecido; EnriqueceAI (descrição gerada).","Todos os módulos uMode (PlanejAI, CriAI, DesenvolvAI, FornecAI, EnriqueceAI, GerenciAI) consultam o CadastrAI; escrita de volta no ERP; distribuição para plataformas externas de e-commerce via serviço de Integrações — esta última ainda manual.","Luiza Barcelos e Reserva — clientes âncora segundo o ÍNDICE MESTRE. ⚠ A fonte **não qualifica** como `(contratado)` ou `(piloto)`, e o protocolo exige o qualificador; fica pendente de confirmação. ⚠ Isso **contradiz** o `Destino = Interna` registrado na lista travada de `CONTEXT.md`: o ÍNDICE MESTRE classifica o CadastrAI no **Domínio 3 — Produtos uMode**, não no Domínio 4 — Produtos Internos. Não resolvi por conta própria.","uMode/03_Produto-e-Solucoes/10_CadastrAI/_contexto/produto.md"
