"demanda_id","client_id","id_legado","titulo","natureza","data_abertura","status_interno","vinculada","vinculo","quadro","area_cxhub","status_cxhub","prioridade","tipo","criador","responsavel","motivo_bloqueio","rfi_id","destino_area","arquivo"
"D-2025-001","basico-co","UMD-133","Configurar tabelas de medida - para que fique automatico cm ou % na edição de pontos de…","casa-cliente","30/06/2025","Concluída","Sim","CX Hub — ID: UMD-133","","","Backlog","","Melhoria","Julianne Rodrigues","","","","","uMode/_Clientes/Básico&Co/00_Institucional/_demandas/D-2025-001.md"
"D-2025-001","baw","UMD-227","Travar o acesso para Ativar/Inativar os cadastros de materiais/cores","casa-cliente","02/09/2025","Concluída","Sim","CX Hub — ID: UMD-227","","","Concluído","","Configuração","Laura Delgado","","","","","uMode/_Clientes/Baw/00_Institucional/_demandas/D-2025-001.md"
"D-2025-002","baw","UMD-322","Acompanhar o Cronograma BAW","casa-cliente","03/09/2025","Concluída","Sim","CX Hub — ID: UMD-322","","","Cancelado","","Suporte","Laura Delgado","Laura Delgado, Andrea Holmer","","","","uMode/_Clientes/Baw/00_Institucional/_demandas/D-2025-002.md"
"D-2025-003","baw","UMD-425","Inativar usuários","casa-cliente","16/09/2025","Concluída","Sim","CX Hub — ID: UMD-425","Operação","Operação | KA","Concluído","","Suporte","Laura Delgado","Laura Delgado, Andrea Holmer","","","","uMode/_Clientes/Baw/00_Institucional/_demandas/D-2025-003.md"
"D-2025-004","baw","UMD-549","Ajustes no mapeamento dos campos tabela PRODUTO","casa-cliente","18/09/2025","Concluída","Sim","CX Hub — ID: UMD-549","Tech","Suporte Tech","Concluído","","Integração","Laura Delgado","Laura Delgado, Andrea Holmer","","","","uMode/_Clientes/Baw/00_Institucional/_demandas/D-2025-004.md"
"D-2025-005","baw","UMD-448","Limpar campo ao duplicar produto","casa-cliente","18/09/2025","Concluída","Sim","CX Hub — ID: UMD-448","Operação","Sem Área","Concluído","","Configuração","Laura Delgado","Laura Delgado, Andrea Holmer","","","","uMode/_Clientes/Baw/00_Institucional/_demandas/D-2025-005.md"
"D-2025-006","baw","UMD-521","Ajustar Perfil de Acesso dos Fornecedores","casa-cliente","23/09/2025","Concluída","Sim","CX Hub — ID: UMD-521","Operação","Sem Área","Concluído","","Configuração","Laura Delgado","Laura Delgado, Andrea Holmer, Williem Berg Oliveira","","","","uMode/_Clientes/Baw/00_Institucional/_demandas/D-2025-006.md"
"D-2025-007","baw","UMD-555","Revisão de Perfil de Acesso BAW","casa-cliente","30/09/2025","Concluída","Sim","CX Hub — ID: UMD-555","Operação","Sem Área","Concluído","","Configuração","Laura Delgado","Laura Delgado, Andrea Holmer","","","","uMode/_Clientes/Baw/00_Institucional/_demandas/D-2025-007.md"
"D-2025-008","baw","UMD-726","Usuário da BAW enviou convite de acesso, retirar permissão para tal atividade","casa-cliente","28/10/2025","Concluída","Sim","CX Hub — ID: UMD-726","Operação","Sem Área","Concluído","","Configuração","Laura Delgado","Laura Delgado, Andrea Holmer","","","","uMode/_Clientes/Baw/00_Institucional/_demandas/D-2025-008.md"
"D-2025-009","baw","UMD-749","Ajustes de Relatórios","casa-cliente","31/10/2025","Concluída","Sim","CX Hub — ID: UMD-749","Tech","Suporte Tech","Cancelado","","Relatório","Laura Delgado","Laura Delgado, Andrea Holmer","","","","uMode/_Clientes/Baw/00_Institucional/_demandas/D-2025-009.md"
