"client_id","pasta","erp","status","direcoes","repositorio","tem_documento","qtd_incidentes","rfis_citadas","responsavel","arquivo"
"baw","Baw","Linx","Em produção — o documento descreve o stage `v1` (produção) com crons ativos nos dois sentidos.","Ambas. Escrita uFlow → Linx cobre **produtos** (produto-pai, preços-esqueleto, cores/variantes, ficha técnica, empenho de materiais e empenho por cor). Leitura Linx → uFlow cobre os cadastros de base: **cores, fornecedores, grades (tabelas de medidas) e materiais**.","`github.com/UmodeApp/integration-baw-linx` · clone local em `C:\Ambientes Virtuais\uMode-Integracoes\integration-baw-linx`","True","0","","","uMode/_Clientes/Baw/00_Institucional/_contexto/integracao.md"
"cambos","Cambos","SPI","Em produção — o documento descreve o stage `v1` (produção) com crons ativos nos dois sentidos.","Ambas. Escrita uFlow → SPI cobre **produtos** (criação e depois a ficha completa). Leitura SPI → uFlow cobre dados de referência: **cores, banhos, fornecedores, tecidos e aviamentos**.","`github.com/UmodeApp/integration-cambos-spi` · clone local em `C:\Ambientes Virtuais\uMode-Integracoes\integration-cambos-spi`","True","0","","","uMode/_Clientes/Cambos/00_Institucional/_contexto/integracao.md"
"lofty-style","Lofty Style","Linx","Em produção — o documento descreve o stage `v1` (produção) com crons ativos; `dev`/`staging` rodam só por chamada HTTP manual.","Ambas. Escrita (uFlow → Linx): produtos e suas tabelas satélites. Leitura (Linx → uFlow): cadastros de base (cores, fornecedores, grades, materiais), nunca apagando registros na uFlow.","`github.com/UmodeApp/integration-lofty-linx` · clone local em `C:\Ambientes Virtuais\uMode-Integracoes\integration-lofty-linx`","True","0","","","uMode/_Clientes/Lofty Style/00_Institucional/_contexto/integracao.md"
"luiza-barcelos","Luiza Barcelos","Safe Tech","Em produção (somente leitura) — crons ativos no stage `v1` para os quatro fluxos de leitura; a escrita de produtos existe no código mas está **desabilitada** (handler comentado em `index.ts` e cron comentado no `serverless.yml`).","Somente **leitura** (SFT → uFlow), em quatro fluxos: **cores**, **fornecedores**, **materiais** (tecidos e aviamentos/enfeites) e **NCM** (opções de campo personalizado). **Não há escrita de volta para o SFT.**","`github.com/UmodeApp/integration-luiza-barcelos-sft` · clone local em `C:\Ambientes Virtuais\uMode-Integracoes\integration-luiza-barcelos-sft`","True","0","","","uMode/_Clientes/Luiza Barcelos/00_Institucional/_contexto/integracao.md"
"nk-store","NK STORE","Linx","Em produção — o documento descreve o stage `v1` (produção) com crons ativos; `dev`/`staging` só por HTTP.","Ambas. Escrita (uFlow → Linx): produto, variantes, ficha técnica, medidas e rota de operação. Leitura (Linx → uFlow): cores, fornecedores, grades e materiais.","`github.com/UmodeApp/integration-nk-linx` · clone local em `C:\Ambientes Virtuais\uMode-Integracoes\integration-nk-linx`","True","0","","","uMode/_Clientes/NK STORE/00_Institucional/_contexto/integracao.md"
"nv","NV","Linx","Em produção — o documento descreve os agendamentos ativos do stage `v1` (produção) e os apps PM2 `nv-v1-worker`/`nv-staging-worker`; em `dev`/`staging` não há cron, apenas endpoints HTTP.","Ambas. Escrita: produtos (uFlow → Linx), programações de produção (uFlow → Linx) e tabela de medidas de e-commerce (uFlow → **API da NV**, que repassa à VTEX — a uMode não fala com a VTEX). Leitura: cores básicas e materiais (com cores e fornecedores) do Linx para a uFlow.","`github.com/UmodeApp/integracao-linx-nv` · clone local em `C:\Ambientes Virtuais\uMode-Integracoes\integracao-linx-nv`","True","0","","","uMode/_Clientes/NV/00_Institucional/_contexto/integracao.md"
"oficina-reserva","Oficina Reserva","SAP","Em produção — o documento descreve o stage `v1` (produção) como ativo, com cron de 30 min existente **só** em produção, e trata Reserva (`entity.id` 3298) e Oficina (3562) como marcas ativas; Baw (3344) está descontinuada e bloqueada no código. O próprio documento a classifica como a integração mais antiga e legada da uMode.","Ambas. Saída (uFlow → SAP/Linx): CSV para o ZZNet (Interface 1), ficha do produto acabado (Interface 3) e modificação do produto acabado (Interface 8). Entrada (SAP/Linx → uFlow): gravação dos códigos SAP/Linx no produto (Interface 6) e criação/atualização de matéria-prima e cores (endpoint de materiais).","`github.com/UmodeApp/arzz-sap` · clone local em `C:\Ambientes Virtuais\uMode-Integracoes\arzz-sap`","True","0","","","uMode/_Clientes/Oficina Reserva/00_Institucional/_contexto/integracao.md"
"osklen","Osklen","Linx","Em produção — o documento descreve o stage `v1` (produção) com crons ativos; `dev`/`staging` só por HTTP manual.","Ambas. Escrita (uFlow → Linx) em **três momentos** (cadastro do produto; variantes/cores e materiais; código de barras). Leitura (Linx → uFlow): cores, fornecedores, grades e materiais.","`github.com/UmodeApp/integration-osklen-linx` · clone local em `C:\Ambientes Virtuais\uMode-Integracoes\integration-osklen-linx`","True","0","","","uMode/_Clientes/Osklen/00_Institucional/_contexto/integracao.md"
"puket","Puket","Linx","","","`github.com/UmodeApp/unico-linx` · clone local em `C:\Ambientes Virtuais\uMode-Integracoes\unico-linx`","False","0","","","uMode/_Clientes/Puket/00_Institucional/_contexto/integracao.md"
"reserva","Reserva","SAP","Em produção — o documento descreve o stage `v1` (produção) como ativo, com cron de 30 min existente **só** em produção, e trata Reserva (`entity.id` 3298) e Oficina (3562) como marcas ativas; Baw (3344) está descontinuada e bloqueada no código. O próprio documento a classifica como a integração mais antiga e legada da uMode.","Ambas. Saída (uFlow → SAP/Linx): CSV para o ZZNet (Interface 1), ficha do produto acabado (Interface 3) e modificação do produto acabado (Interface 8). Entrada (SAP/Linx → uFlow): gravação dos códigos SAP/Linx no produto (Interface 6) e criação/atualização de matéria-prima e cores (endpoint de materiais).","`github.com/UmodeApp/arzz-sap` · clone local em `C:\Ambientes Virtuais\uMode-Integracoes\arzz-sap`","True","0","","","uMode/_Clientes/Reserva/00_Institucional/_contexto/integracao.md"
